new_tag,acc_id,peakid,accidents
frostbite,462,EVER,Kubicek mild frostbite
frostbite,464,EVER,Phu Dorje and 1 Chinese summiter snowblind and 2 Chinese slightly frostbitten fingers
frostbite,466,EVER,Frostbite and HAS
frostbite,467,EVER,Harrod broken leg; Madew frostbite
frostbite,468,EVER,Burger's frostbitten toes; Nima Tashi mild concussion in avalanche
frostbite,473,EVER,Dal Cin frostbite
frostbite,476,EVER,"Frostbitten lefthand thumb, righthand thumb, index & middle fingers (same fingers were frostbitten last year almost at same altitude)"
frostbite,477,EVER,Fatalities; Lhakpa Gelu frostbite; 2 members snowblind
frostbite,479,EVER,Brook mildly frostbitten fingers; Pema Chirri's head cut by stone falling on Lhotse Face
frostbite,481,EVER,Troch's 3 fingers and 1 toe serious frostbite; Tshering Thundu snowblind
frostbite,484,EVER,Zachary lost consciousness and has frostbite
frostbite,488,EVER,Kato frostbitten nose and temporary blindness
frostbite,489,EVER,Ferlan suffered from left leg (calf) split (cramped on May 29 at 8400m); frostbite Kami's fingers
frostbite,491,EVER,Mingma Tamang frostbitten fingers (not serious)
frostbite,494,EVER,Pokhvalin frostbitten left foot; Kikstra eye hemorrhage; Gariano temporary lost of eyesight at 8600m; Lihteneker death
frostbite,496,EVER,"Frostbite: thumb and middle finger of right hand, both feet (doctor said it is not very bad - likely to be Ok)"
frostbite,497,EVER,Vadasdi has frostnip on both feet (big toes)
frostbite,500,EVER,2nd degree frostbite on left toe
frostbite,501,EVER,Flock frostbitten frozen and toes; Luda frostbitten little fingers; Waters chest infection in C2 (so climbed no higher)
frostbite,503,EVER,Mukherjee frostbitten during summit attempt; Chaitanya fatal fall
frostbite,506,EVER,Frostnip on two toes
frostbite,509,EVER,Chow frostnipped toes
frostbite,511,EVER,Honda had frostbite on right middle finger
frostbite,519,EVER,Frostbite of two fingers of right hand of Pema Sherpa at C3 (left for home)
frostbite,531,EVER,Dawa Temba and Lhakpa Tsering died in the icefall
frostbite,534,EVER,Only very minor frostbite (Botha's & Pomfret toes)
frostbite,536,EVER,Lee Se-Jung said there was no accident; Kwak frostbitten
frostbite,537,EVER,Sharp frozen to death in the rock cave at 8500m on May 15
frostbite,539,EVER,Hochreiter frostbite
frostbite,544,EVER,Pneumonia by Trumbull; HACE by Selamolela; frostbite by Selamolela and Yaniv
frostbite,550,EVER,First degree frostbite in both toes of Go whiles descending between ABC to CBC
frostbite,551,EVER,HACE by Ang Temba; frostbite by Kamikomaki
frostbite,552,EVER,Several frostbite cases; Thapa Magar died of pulmonary edema
frostbite,555,EVER,Pivtsov pulmonary edema and slight frostbite one toe
frostbite,557,EVER,Polackova frostnip on fingers
frostbite,560,EVER,Frostbite on big toe by Gonzalez; pulmonary edema by Lozada
frostbite,562,EVER,Nothing serious but Nurbu Sherpa slight frostbite
frostbite,563,EVER,Hsu's snowblindness; Jangjiu's frostbite
frostbite,566,EVER,Smith's edema; Chhongba Nurbu frostbitten toes and chopper from BC to KTM
frostbite,568,EVER,8 frostbitten toes on both feet by Fry; retinal hemorrhage by Smith
frostbite,575,EVER,Giorgio's three toes frostbitten in each foot (he said not serious)
frostbite,585,EVER,Dickson and Jackson chest infection; Ang Sarki's frostbite
frostbite,589,EVER,Frostbite (both hands and right leg toes of Dharma Bahadur Rai)
frostbite,594,EVER,Kang's frostbitten fingers only
frostbite,595,EVER,Frostbite both on fingers and toes
frostbite,596,EVER,Frostbite on both hands and feet
frostbite,598,EVER,Byrne's total exhaustion and frostbite
frostbite,599,EVER,Diez and Monedero fingers and toes numb from frostbite
frostbite,600,EVER,Slight frostbite by Ochiai
frostbite,605,EVER,One Sherpa slight frostbite; Jovovic broken knee
frostbite,611,EVER,1 Sherpa toothache and 1 Sherpa frostbite
frostbite,613,EVER,Fernandez slight frostbite; Trasobares pulmonary edema
frostbite,614,EVER,"Matter's right thumb got frostbitten, but it will heal"
frostbite,615,EVER,Ozaki's death; Jaya Bahadur had frostbitten toes
frostbite,616,EVER,Minor frostbites
frostbite,620,EVER,Frostbite 3rd degree by Ranner on right hand
frostbite,621,EVER,Ignacio Anaya & Gustavo Flores frostbite; Delgadillo suffered from chest pain
frostbite,622,EVER,Swart had frostbite and snowblindness
frostbite,630,EVER,Yoon got frostbite in middle finger on right hand and both toes
frostbite,632,EVER,"Pedro Jose Garcia got frostbite (right ear, left-hand little finger, right-hand index, middle and little fingers); Alfredo Garcia suffered from pulmonary edema while descending"
frostbite,633,EVER,Brisebourg got minor frostbite on one toe Jaccard and Morschel frostbite fingers in both hands
frostbite,639,EVER,Rudho has frostbite on right hand at four fingers and on left hand on one finger
frostbite,641,EVER,"Dhokale slight frostbitten on toe, Yelange on toe, Adhikari on all 10 toes"
frostbite,643,EVER,"Frostbite on right hand, 4 fingers."
frostbite,644,EVER,"Rani little bit frostbite on toe, both legs"
frostbite,646,EVER,Neefjes frostbite and Lhakpa Nuru's broken jaw from falling rock
frostbite,652,EVER,Slight frostbite to Martinez
frostbite,654,EVER,Proudlock slight frostbite
frostbite,655,EVER,Vora had frostbite
frostbite,658,EVER,Pandit frostbitten toe
frostbite,659,EVER,Kalafahi slight frostbite
frostbite,661,EVER,Bergum slight frostbite; Sherpa fatal illness (Da Rita Sherpa died of a heart problem in C3 on 5 May)
frostbite,663,EVER,Hauer slight frostbite on nose (has already healed)
frostbite,664,EVER,Frostbite in all fingers of Townsden; he went to toilet without gloves on the midnight of 12 May
frostbite,669,EVER,Ankowski got frostbite in two fingers in both hands and left toe
frostbite,673,EVER,Phurba Tsering and Terran slight frostbite on fingers (1st degree); they were flown out to Kathmandu by heli on 22 May
frostbite,674,EVER,Frostbite by Alblooshi on fingers and toes and Alzarooni on fingers (probably no amputation needed)
frostbite,675,EVER,Stocker had frostbite on four toes of each foot; he was flown out by helicopter from C2 after the summit push
frostbite,676,EVER,Frostbite by Jitsukawa and Nishida
frostbite,680,EVER,Frostbite on both hands by Ibanez
frostbite,681,EVER,Sherpa of Pan Zheng-Sheng got frostbite on his finger
frostbite,683,EVER,Richard Brooks got frostbite in his toes on summit day and has been hospitalized in Kathmandu
frostbite,685,EVER,Terry Keleher got frostbite on his left ear (flew to kathmandu from C2).
frostbite,686,EVER,Frostbite Pariz on fingers; Birn on toes and Braillard bad frostbite on fingers and toes
frostbite,688,EVER,Hachoodan frostbitten toe and hand (not serious)
frostbite,689,EVER,"Frostbitten toe and hand of PARK (serious)

"
frostbite,690,EVER,Snowblindness and frostbite for Mike Hopkins
frostbite,691,EVER,Olivares got frostbite at his right foot and was hospitalized in Kathmandu on 23 May (he will recover 100% according to doctor).
frostbite,693,EVER,Grabmueller frostbite on both hands
frostbite,694,EVER,Lama Babu Sherpa fell from South Summit (body was not found); Pozdnii's snowblindness and frostbite
frostbite,700,EVER,Zeng Jiu-Sheng and Luo Ji frostbite on hands.
frostbite,701,EVER,Slight frostbite for Becker (extreme little fingers of hands); frostbite for Bleeker; snowblindess for NC Sherpa and Becker
frostbite,702,EVER,Slight frostbits for Ransley
frostbite,703,EVER,Prakash Kumar minor frostbite on 3 fingers of right hand.
frostbite,711,AMAD,Bong slight frostbite his toes
frostbite,720,AMAD,Kamin slightly frostbitten tips and toes
frostbite,724,AMAD,Murphy frostbitten toes & Phillips frostnip; Durran failed to acclimatize
frostbite,725,AMAD,Mangel sick; one member slightly frostbitten toes (black but will heal)
frostbite,727,AMAD,Cosson slightly frostbitten toes and fingers; nothing else
frostbite,729,AMAD,Magar slight frostbite
frostbite,730,AMAD,Minor frostbite only
frostbite,733,AMAD,Nothing serious; one man slight frostbite on finger
frostbite,734,AMAD,Warner slight frostbite fingers
frostbite,736,AMAD,Corrigan extreme fatigue; Murphy frostbite (will heal); all had stomach trouble
frostbite,742,AMAD,Only Hansen frostbite (which will heal)
frostbite,759,AMAD,Both summiters very slight frostbite; Baek serious altitude sickness
frostbite,761,AMAD,Yamanoi one frostbitten finger (maybe will lose tip)
frostbite,776,AMAD,"Corvini, Burns, Smith and Willard frostbitten fingers; also 3 with frozen toes"
frostbite,778,AMAD,Ikeda slight altitude sickness; Kimura and Takiguchi slightly frostbitten toes
frostbite,781,AMAD,Haid has frostbitten toes on both feet but may lose nothing [actually lost seven toes]; Krismer none; both walked from BC to Lukla; Haid thinks frostbite not from summit but tight boots
frostbite,782,AMAD,Georges has 4 frostbitten fingers from making snowhole for 4th bivouac
frostbite,789,AMAD,Treibel fell into obvious bergschrung & tore ligaments on way to top; slight frostbite to 2 members
frostbite,797,AMAD,Kobayashi had frostbite on his toes
frostbite,808,AMAD,Creatura slight frostbite
frostbite,814,AMAD,Schmitt frostbitten fingers (will be Ok); Oberwieser fell at 5650m and tore a ligament in ankle
frostbite,815,AMAD,Chang frostbitten toes
frostbite,821,AMAD,"Slight frostbite (Hackett, Pappas and Sullivan); Hart maybe more serious"
frostbite,841,AMAD,Small amount of frostbite on Chris's hands
frostbite,843,AMAD,Fernandez slightly frostbitten toes
frostbite,850,AMAD,Prokopenko all fingers frostbitten badly
frostbite,866,AMAD,Nothing except Hollinger's slight frostbite
frostbite,868,AMAD,Meyering frostbite (will heal)
frostbite,873,AMAD,Gott's slight frostbitten fingers and toes
frostbite,877,AMAD,Dides frostbite left toe and Boehler both toes (they were flown out on helicopter on 23rd and left Nepal on 25th)
frostbite,885,AMAD,Lem 2 fingers frostnipped
frostbite,897,AMAD,Madison Post got frostbite on two toes
frostbite,898,AMAD,Reisinger one frostbitten toe but not serious
frostbite,901,AMAD,Only serious problem was J. P. Blais frostbite
frostbite,902,AMAD,Only Bernd Rachbauer frostbite
frostbite,903,AMAD,Park one frostbitten finger; Wan mild altitude sickness
frostbite,911,AMAD,Hauer frostbite on left hand
frostbite,913,AMAD,Cookson frostnip one finger
frostbite,916,AMAD,2nd degree frostbite on both feet of Sean
frostbite,917,AMAD,Giordani got frostbite on right hand
frostbite,920,AMAD,Dziob frostbite
frostbite,921,AMAD,Gazdik 2 fingers badly frostbitten; Kalwak lung infection
frostbite,925,AMAD,Frostbite in toes of both feet & two fingers of right hand of right hand of Trifunovic are bit serious; Bites frostbitten toes are getting Ok.
frostbite,926,AMAD,Yoshida 3 frostbitten fingers
frostbite,930,AMAD,Frostbite in four fingers in right hand and toes of both legs of Hammer (she said doctor told her the frostbites are not serious)
frostbite,932,AMAD,Malia mild frostbitten fingers because inadequate gloves
frostbite,938,AMAD,Holmes frostbite
frostbite,940,AMAD,Slight frostbite by both
frostbite,942,AMAD,Minor frostbite fingers and toes of Thomas and right big toe of Thompson
frostbite,943,AMAD,Frostbite in middle ring and small fingers of both hands of Heung-Hwan Choi and middle ring & small fingers of left hand of Jang (not very serious frostbite)
frostbite,945,AMAD,Lehuin's frostbite
frostbite,947,AMAD,Bjoseth slight frostbite
frostbite,959,AMAD,"Hotter suffered from high altitude sickness, frostbite"
frostbite,962,AMAD,"Goretzka got slight frostbite on summit day on both hands, however, it healed perfectly"
frostbite,974,AMAD,Rhee minor frostbite (middle finger of right hand)
frostbite,988,AMAD,Slight frostbite of right-hand index finger of Damien Tomasi
frostbite,989,AMAD,Watkins suffered frostbite.
frostbite,990,AMAD,Maria Agudo evaculated by helicoptor to Ktm due to severe frostbite to hands and feet
frostbite,992,AMAD,Hamlin slight frostbite on big toe
frostbite,993,AMAD,"Dubuc very light frostbite at fingertip, expecting 100% recovery"
frostbite,994,AMAD,Jose Torrents Mendez frostbite at middle finger of left hand.
frostbite,995,AMAD,Pepevnik and Breznik frostbite
frostbite,996,AMAD,"Darabont got slight frostbite at middle finger of left hand on summit day, but is expected to recover 100%"
frostbite,997,AMAD,Jose Alvarez during the descent suffered frostbite and pulmonary edema.
frostbite,1002,AMAD,"1st degree frostbite for Jean-Marc Morschel right hand, previously frostbitten on Everest. 

"
frostbite,1003,AMAD,Tasio very slight frostbite at one finger on right hand (no lasting damage expected).
frostbite,1005,AMAD,"Vivek Shivade had frostbite on middle finger and thumb of right hand (now on a recovery mode, no amputation though)."
frostbite,1006,AMAD,"Ang Rinji Sherpa suffered minor frostbite on the tips of two toes, on summit day."
frostbite,1009,CHOY,Altitude sickness (Hunt) and slight frostbite
frostbite,1010,CHOY,Forno slight frostbite on left foot; Benzoni and Gianola altitude sickness
frostbite,1015,CHOY,Little frostbites only
frostbite,1016,CHOY,Marshall froze several fingers and one toe on Dec 6 and was developing altitude sickness that day; 1 American getting sick on Dec 7; Becik very slight frostbite on nose
frostbite,1018,CHOY,1 member slight frostbite
frostbite,1019,CHOY,Daum and Faessler frostbite; Obermaier altitude illness at 7600m in summit bid
frostbite,1025,CHOY,Slight frostbite to summiters; one Sherpa unhurt in fall onto crevasse
frostbite,1031,CHOY,De Leo frostbitten fingers and toes (white); 1 Sherpa altitude sickness
frostbite,1033,CHOY,Slight frostbite in toes by summiters; 2 others slightly ill
frostbite,1034,CHOY,Kennedy serious HAPE and frostbite on Oct 1; Clark serious frostbite
frostbite,1037,CHOY,Skripko frostbite in toes on both feet but probably will heal
frostbite,1039,CHOY,Wang slight frostbite on toe
frostbite,1043,CHOY,Some frostbite by 3 members which will heal
frostbite,1045,CHOY,Slight frostbite by 2 members
frostbite,1047,CHOY,Koncz snowblinded on final descent day; Nagy slight frostbite
frostbite,1050,CHOY,3 Greeks frostbite which will heal; 3 altitude sickness
frostbite,1052,CHOY,2 altitude sickness; 2 slight frostbite
frostbite,1053,CHOY,1 member frostbite which will heal; summiters altitude sickness early in climb
frostbite,1054,CHOY,5 members frostbitten fingers or toes but probably will heal; 2 altitude sickness; Wasmann fatal fall
frostbite,1058,CHOY,Some frostbite but all will heal
frostbite,1059,CHOY,Langmade frostbite (will heal)
frostbite,1060,CHOY,Mazzoleni slight frostbite
frostbite,1061,CHOY,5 frostbite cases (very cold and windy since Sept 8); serious 1 toe and 1 fingertips; one dead before BC
frostbite,1062,CHOY,Shiraishi frostbitten fingers but will not lose tips; no other problems
frostbite,1065,CHOY,Heinrich hit by falling rock on leg and out of action 8 days; Kukuczka some frostbite of 2 toes but expects them to heal in time; Dmoch left expedition one day after arrival at BC because of heart problem
frostbite,1066,CHOY,Freser frostbite which will heal; Tic bruised by falling stone
frostbite,1075,CHOY,Finkbeiner will lose tips of 2 frostbitten fingers; nothing else
frostbite,1076,CHOY,Ghezzi pulmonary edema and left expedition; Soregaroli slight frostbitten finger
frostbite,1077,CHOY,Kramer's badly broken leg; Siegers' frostbitten toes during Kramer's rescue on May 29 (lose tips of toes?)
frostbite,1078,CHOY,Lutterjohann frostbitten toes
frostbite,1080,CHOY,Ganuza and Aranzabal bad frostbitten toes (Ganuza fingers also)
frostbite,1084,CHOY,Colet some frostbite on all 5 right fingers & right toes but will heal
frostbite,1085,CHOY,None on either mountain; Kim Young-Tae slight frostbite on Cho Oyu
frostbite,1093,CHOY,2 with frostbite but probably no loss
frostbite,1094,CHOY,Liu bad frostbite all toes and 5 fingers (will lose half of length)
frostbite,1095,CHOY,Lauthier 10 toes frostbitten and may lose parts; several with altitude sickness
frostbite,1096,CHOY,Um little frostbite on toe; Choi little frostbite on fingers
frostbite,1097,CHOY,Serrano and Martinez all 10 toes frostbitten (may lose tips)
frostbite,1103,CHOY,Garra frostbitten fingers (black but will not loose tips); Magrima swollen & painful ankle from 20m fall; all toes frostnipped of summiters & Cucurull
frostbite,1111,CHOY,Karma Tenzing Bhotia said he had serious heart problem; Assem slight frostbite 17 April
frostbite,1115,CHOY,Otsuka & Sasahara bad frostbite; Hashiguchi very rapid pulse & did not climb; intestinal clot of Lhakpa Gyalu
frostbite,1116,CHOY,"Slightly frostbitten toes, Nagao and Yamanoi"
frostbite,1124,CHOY,None except Zedrosser frostbite
frostbite,1126,CHOY,"Ms. Koch some frostbite, says trekking agent"
frostbite,1129,CHOY,3 members with frostbite that will heal; 1 hypothermia but OK
frostbite,1130,CHOY,Desplan cerebral edema after ascent; 2 members & Ang Rita's son frostbitten toes & fingers
frostbite,1133,CHOY,Wood serious frostbite; Helenek never to BC because of kidney stones
frostbite,1135,CHOY,Escoffier and Dorje slightly frostbitten toes; Jaun got edema at Tingri and returned to KTM before reaching BC
frostbite,1145,CHOY,Schlegel heart problem at BC; Schubert and Kraus very slight frostbite in -43 degrees weather (turned back at 8000m)
frostbite,1146,CHOY,Kaluza frostbitten toes (very bad on left foot)
frostbite,1147,CHOY,Schmid frostbitten fingers
frostbite,1153,CHOY,Arnold slight frostbite in 2 fingers
frostbite,1156,CHOY,"Duro-Arajol's frostbitten fingers; Sanchez's did not acclimatize, was sick and left BC on 16 Sept"
frostbite,1160,CHOY,Wheelock frostbitten toes
frostbite,1164,CHOY,Nothing except Haberl slight frostbite
frostbite,1165,CHOY,Nothing serious; Agarkova frostbite from alpine climb just before coming to Cho Oyu
frostbite,1166,CHOY,Urbanovic ill in throat (brought from home); frostbitten thumb of Strba
frostbite,1168,CHOY,Goger and Chlastak some frostbite but will be OK
frostbite,1171,CHOY,"Franz finger badly frostbitten, left ABC on May 5; Fichtner and Meissnitzer mild frostbite"
frostbite,1172,CHOY,Surchat frostnipped toe
frostbite,1174,CHOY,Minor frostbite only
frostbite,1177,CHOY,Desprat light frostbite of feet
frostbite,1180,CHOY,Jewell frostbitten nose and fingers but will heal
frostbite,1183,CHOY,Contreras and Le Poole slight frostbite
frostbite,1184,CHOY,"Cardinal serious altitude sickness at ABC; Collet, Oddoux, Vouillamoz and Disserens left 5th & 7th Oct; frostbite Poirier in C2 but probably lose no toes"
frostbite,1186,CHOY,Zuberer slight frostbite; Andorno stomach trouble & left expedition
frostbite,1188,CHOY,"Silva, Leong and Siew frostbite, but not serious"
frostbite,1193,CHOY,Raith slight frostbite
frostbite,1196,CHOY,2 cases slight frostbite
frostbite,1201,CHOY,Lebek slightly frostbitten fingers
frostbite,1208,CHOY,"Frostbite on finger tips, which he contracted during his climb out of the crevasse (he was treated in Munich hospital for two weeks)."
frostbite,1209,CHOY,Klingl frostbitten fingers (both hands after 2nd ascent)
frostbite,1215,CHOY,Both summiters slight frostbite
frostbite,1221,CHOY,Mayr frostbitten thumb
frostbite,1223,CHOY,"Lopez frostbitten hands, snowblindness, hematoma on head from fall"
frostbite,1225,CHOY,Nistor slight frostbite; Bielefeldt serious exhaustion; Brandner altitude sickness in ABC and left team
frostbite,1227,CHOY,Takahashi slight frostbite of toes
frostbite,1228,CHOY,Zver cerebral edema; Kokakj 4 toes frostbitten but will heal
frostbite,1230,CHOY,Frostbitten toes but will heal
frostbite,1231,CHOY,Slight frostbite by Okuda on Cho Oyu
frostbite,1232,CHOY,Ducros 7850m blind on 28th and down; slight frostbite
frostbite,1238,CHOY,Tosas had frostbite on all ten toes.
