acc_id,tag,prob,tag_id,peakid,accidents,new_tag
11,snowfall,0.8293493390083313,22,EVER,"1 frostbite, 1 snowblindness",weather-related issues
11,hypothermia,0.5215568542480469,12,EVER,"1 frostbite, 1 snowblindness",hypothermia
12,respiratory problems,0.9832494854927063,31,EVER,1 member altitude sickness,respiratory problems
12,acute mountain sickness (AMS),0.8333296179771423,0,EVER,1 member altitude sickness,high-altitude illness
12,pulmonary edema (HAPE),0.6128365993499756,9,EVER,1 member altitude sickness,high-altitude illness
13,respiratory problems,0.9959550499916077,31,EVER,Miss Nagao sick in C3 with 'cold' (had reached South Col twice before her illness),respiratory problems
13,hypothermia,0.7270674705505371,12,EVER,Miss Nagao sick in C3 with 'cold' (had reached South Col twice before her illness),hypothermia
13,lack of experience,0.630736231803894,16,EVER,Miss Nagao sick in C3 with 'cold' (had reached South Col twice before her illness),lack of experience
13,extreme cold,0.6123226284980774,5,EVER,Miss Nagao sick in C3 with 'cold' (had reached South Col twice before her illness),extreme cold
13,steep rock,0.5634925365447998,23,EVER,Miss Nagao sick in C3 with 'cold' (had reached South Col twice before her illness),steep rock
14,medical issues (not altitude-related),0.976375162601471,32,EVER,Putz back injury (stopped his climbing); Karolczak stomach illness,medical issues (not altitude-related)
14,stomach problems,0.9266014695167542,26,EVER,Putz back injury (stopped his climbing); Karolczak stomach illness,stomach problems
14,lack of fitness,0.8178144097328186,17,EVER,Putz back injury (stopped his climbing); Karolczak stomach illness,lack of fitness
14,people falling,0.7254658937454224,25,EVER,Putz back injury (stopped his climbing); Karolczak stomach illness,people falling
14,steep rock,0.711121141910553,23,EVER,Putz back injury (stopped his climbing); Karolczak stomach illness,steep rock
15,avalanches,0.9809761047363281,1,EVER,1 member killed in avalanche,avalanches
16,avalanches,0.986467182636261,1,EVER,1 Sherpa died in avalanche,avalanches
16,lack of experience,0.8608521223068237,16,EVER,1 Sherpa died in avalanche,lack of experience
17,snowfall,0.9764188528060913,22,EVER,1 member got snowblindness for 2 days,weather-related issues
17,extreme cold,0.9262585043907166,5,EVER,1 member got snowblindness for 2 days,extreme cold
17,blizzards,0.8851346373558044,2,EVER,1 member got snowblindness for 2 days,weather-related issues
17,lack of experience,0.520473301410675,16,EVER,1 member got snowblindness for 2 days,lack of experience
19,avalanches,0.9898654818534851,1,EVER,Burkhardt killed Sep 28 by avalanche descending Lhotse Face; Gyalu Sherpa killed Oct 4 by falling seracs which buried him in icefall,avalanches
19,people falling,0.9856233596801758,25,EVER,Burkhardt killed Sep 28 by avalanche descending Lhotse Face; Gyalu Sherpa killed Oct 4 by falling seracs which buried him in icefall,people falling
19,glacial crevasses,0.9563573598861694,8,EVER,Burkhardt killed Sep 28 by avalanche descending Lhotse Face; Gyalu Sherpa killed Oct 4 by falling seracs which buried him in icefall,glacial crevasses
19,icefall,0.9449504017829895,14,EVER,Burkhardt killed Sep 28 by avalanche descending Lhotse Face; Gyalu Sherpa killed Oct 4 by falling seracs which buried him in icefall,icefall
19,extreme cold,0.9389992356300354,5,EVER,Burkhardt killed Sep 28 by avalanche descending Lhotse Face; Gyalu Sherpa killed Oct 4 by falling seracs which buried him in icefall,extreme cold
19,steep rock,0.8813978433609009,23,EVER,Burkhardt killed Sep 28 by avalanche descending Lhotse Face; Gyalu Sherpa killed Oct 4 by falling seracs which buried him in icefall,steep rock
19,inadequate preparation,0.6435311436653137,15,EVER,Burkhardt killed Sep 28 by avalanche descending Lhotse Face; Gyalu Sherpa killed Oct 4 by falling seracs which buried him in icefall,inadequate preparation
20,people falling,0.997238278388977,25,EVER,"1 Sherpa fell while carrying load from C4 to C5 with Ang Nima (fell 800-1000m, body not found); Sungdare and Lhakpa Norbu hit by falling rock (Sungdare while sleeping in C4, Lhakpa while descending); 1 Sherpa went home after AMS",people falling
20,rockfall,0.9587692022323608,19,EVER,"1 Sherpa fell while carrying load from C4 to C5 with Ang Nima (fell 800-1000m, body not found); Sungdare and Lhakpa Norbu hit by falling rock (Sungdare while sleeping in C4, Lhakpa while descending); 1 Sherpa went home after AMS",rockfall
20,equipment failure,0.856559157371521,3,EVER,"1 Sherpa fell while carrying load from C4 to C5 with Ang Nima (fell 800-1000m, body not found); Sungdare and Lhakpa Norbu hit by falling rock (Sungdare while sleeping in C4, Lhakpa while descending); 1 Sherpa went home after AMS",equipment failure
20,steep rock,0.6440367698669434,23,EVER,"1 Sherpa fell while carrying load from C4 to C5 with Ang Nima (fell 800-1000m, body not found); Sungdare and Lhakpa Norbu hit by falling rock (Sungdare while sleeping in C4, Lhakpa while descending); 1 Sherpa went home after AMS",steep rock
21,frostbite,0.9935975670814514,6,EVER,Ang Tshering frostbitten toes & fingers; no other problems,frostbite
21,extreme cold,0.946724534034729,5,EVER,Ang Tshering frostbitten toes & fingers; no other problems,extreme cold
21,lack of experience,0.5115472078323364,16,EVER,Ang Tshering frostbitten toes & fingers; no other problems,lack of experience
22,people falling,0.9826422929763794,25,EVER,"Marshall fell 150-300m down the N Face of Everest on May 21 as he was descending from an unsuccessful bid to reach the top; from below seemed to be going well at first, but at about 11am his body was seen at about 6250m",people falling
22,steep rock,0.8494213223457336,23,EVER,"Marshall fell 150-300m down the N Face of Everest on May 21 as he was descending from an unsuccessful bid to reach the top; from below seemed to be going well at first, but at about 11am his body was seen at about 6250m",steep rock
22,lack of experience,0.839570164680481,16,EVER,"Marshall fell 150-300m down the N Face of Everest on May 21 as he was descending from an unsuccessful bid to reach the top; from below seemed to be going well at first, but at about 11am his body was seen at about 6250m",lack of experience
22,lack of fitness,0.5290520787239075,17,EVER,"Marshall fell 150-300m down the N Face of Everest on May 21 as he was descending from an unsuccessful bid to reach the top; from below seemed to be going well at first, but at about 11am his body was seen at about 6250m",lack of fitness
22,inadequate preparation,0.5064466595649719,15,EVER,"Marshall fell 150-300m down the N Face of Everest on May 21 as he was descending from an unsuccessful bid to reach the top; from below seemed to be going well at first, but at about 11am his body was seen at about 6250m",inadequate preparation
23,respiratory problems,0.9986423254013062,31,EVER,None except much chest infection,respiratory problems
23,medical issues (not altitude-related),0.9521597623825073,32,EVER,None except much chest infection,medical issues (not altitude-related)
23,inadequate preparation,0.5417242050170898,15,EVER,None except much chest infection,inadequate preparation
23,pulmonary edema (HAPE),0.5072195529937744,9,EVER,None except much chest infection,high-altitude illness
23,lack of experience,0.5059146285057068,16,EVER,None except much chest infection,lack of experience
24,frostbite,0.9960051774978638,6,EVER,Tamayo frostbite of feet,frostbite
24,extreme cold,0.992009699344635,5,EVER,Tamayo frostbite of feet,extreme cold
24,hypothermia,0.851335346698761,12,EVER,Tamayo frostbite of feet,hypothermia
25,medical issues (not altitude-related),0.963715136051178,32,EVER,None except Abrego mild illness,medical issues (not altitude-related)
25,respiratory problems,0.5547438859939575,31,EVER,None except Abrego mild illness,respiratory problems
26,broken bones,0.9947993755340576,29,EVER,1 member broke leg in 20m fall at 7600m 12th April [?] resulting in severe toes and fingers frostbite,medical issues (not altitude-related)
26,frostbite,0.9864826202392578,6,EVER,1 member broke leg in 20m fall at 7600m 12th April [?] resulting in severe toes and fingers frostbite,frostbite
26,people falling,0.9551609754562378,25,EVER,1 member broke leg in 20m fall at 7600m 12th April [?] resulting in severe toes and fingers frostbite,people falling
26,extreme cold,0.9307081699371338,5,EVER,1 member broke leg in 20m fall at 7600m 12th April [?] resulting in severe toes and fingers frostbite,extreme cold
26,hypothermia,0.8987302184104919,12,EVER,1 member broke leg in 20m fall at 7600m 12th April [?] resulting in severe toes and fingers frostbite,hypothermia
26,steep rock,0.6919254064559937,23,EVER,1 member broke leg in 20m fall at 7600m 12th April [?] resulting in severe toes and fingers frostbite,steep rock
27,medical issues (not altitude-related),0.5097227692604065,32,EVER,Various illnesses which caused early departures,medical issues (not altitude-related)
28,stomach problems,0.863065779209137,26,EVER,"1 member nearly died of edema, 2 serious dysentery and 1 kidney stone attack",stomach problems
29,stomach problems,0.9947978258132935,26,EVER,One doctor's stomach ulcer; stomach virus epidemic; 1 mild pulmonary edema,stomach problems
29,medical issues (not altitude-related),0.9631850123405457,32,EVER,One doctor's stomach ulcer; stomach virus epidemic; 1 mild pulmonary edema,medical issues (not altitude-related)
29,inadequate preparation,0.6595461964607239,15,EVER,One doctor's stomach ulcer; stomach virus epidemic; 1 mild pulmonary edema,inadequate preparation
29,pulmonary edema (HAPE),0.5166580677032471,9,EVER,One doctor's stomach ulcer; stomach virus epidemic; 1 mild pulmonary edema,high-altitude illness
30,extreme cold,0.9912889003753662,5,EVER,Logan and Rheinberger frostbite only,extreme cold
30,frostbite,0.9777927994728088,6,EVER,Logan and Rheinberger frostbite only,frostbite
30,hypothermia,0.6082044839859009,12,EVER,Logan and Rheinberger frostbite only,hypothermia
30,icefall,0.5069787502288818,14,EVER,Logan and Rheinberger frostbite only,icefall
31,avalanches,0.9819544553756714,1,EVER,Cook killed by avalanche at BC,avalanches
31,lack of experience,0.8379806280136108,16,EVER,Cook killed by avalanche at BC,lack of experience
32,medical issues (not altitude-related),0.8132802844047546,32,EVER,None to 14th except Patschieder's shoulder injury,medical issues (not altitude-related)
32,broken bones,0.7636755704879761,29,EVER,None to 14th except Patschieder's shoulder injury,medical issues (not altitude-related)
32,people falling,0.7084509134292603,25,EVER,None to 14th except Patschieder's shoulder injury,people falling
33,people falling,0.9134424924850464,25,EVER,Deputy leader hurt knee; 1 Japanese and 2 Sherpas ill and went home; climbing leader drowned between BC and C1,people falling
33,lack of fitness,0.7363956570625305,17,EVER,Deputy leader hurt knee; 1 Japanese and 2 Sherpas ill and went home; climbing leader drowned between BC and C1,lack of fitness
33,lack of experience,0.705428421497345,16,EVER,Deputy leader hurt knee; 1 Japanese and 2 Sherpas ill and went home; climbing leader drowned between BC and C1,lack of experience
33,steep rock,0.675971269607544,23,EVER,Deputy leader hurt knee; 1 Japanese and 2 Sherpas ill and went home; climbing leader drowned between BC and C1,steep rock
33,broken bones,0.6593496799468994,29,EVER,Deputy leader hurt knee; 1 Japanese and 2 Sherpas ill and went home; climbing leader drowned between BC and C1,medical issues (not altitude-related)
34,medical issues (not altitude-related),0.9603345990180969,32,EVER,1 Gurung only serious illness (he returned to expedition later),medical issues (not altitude-related)
34,respiratory problems,0.7530167698860168,31,EVER,1 Gurung only serious illness (he returned to expedition later),respiratory problems
34,acute mountain sickness (AMS),0.6243401169776917,0,EVER,1 Gurung only serious illness (he returned to expedition later),high-altitude illness
34,pulmonary edema (HAPE),0.5876843333244324,9,EVER,1 Gurung only serious illness (he returned to expedition later),high-altitude illness
35,lack of experience,0.7044664025306702,16,EVER,2 Sherpas ill (one after 4-5 days at BC) and stopped climbing; Son altitude sickness,lack of experience
35,acute mountain sickness (AMS),0.6101194620132446,0,EVER,2 Sherpas ill (one after 4-5 days at BC) and stopped climbing; Son altitude sickness,high-altitude illness
35,inadequate preparation,0.5744372606277466,15,EVER,2 Sherpas ill (one after 4-5 days at BC) and stopped climbing; Son altitude sickness,inadequate preparation
37,avalanches,0.9597721099853516,1,EVER,Middleton's injured leg (while descending from C5 caught by slab avalanche) but not broken; 4 cases of frostbite which will heal,avalanches
37,people falling,0.9174987077713013,25,EVER,Middleton's injured leg (while descending from C5 caught by slab avalanche) but not broken; 4 cases of frostbite which will heal,people falling
37,frostbite,0.8136902451515198,6,EVER,Middleton's injured leg (while descending from C5 caught by slab avalanche) but not broken; 4 cases of frostbite which will heal,frostbite
37,extreme cold,0.7225729823112488,5,EVER,Middleton's injured leg (while descending from C5 caught by slab avalanche) but not broken; 4 cases of frostbite which will heal,extreme cold
38,frostbite,0.9567179679870605,6,EVER,3 members frostbite; Teare developed altitude sickness,frostbite
38,extreme cold,0.9243811964988708,5,EVER,3 members frostbite; Teare developed altitude sickness,extreme cold
38,acute mountain sickness (AMS),0.7930586934089661,0,EVER,3 members frostbite; Teare developed altitude sickness,high-altitude illness
38,inadequate preparation,0.5515391826629639,15,EVER,3 members frostbite; Teare developed altitude sickness,inadequate preparation
38,lack of fitness,0.5290248990058899,17,EVER,3 members frostbite; Teare developed altitude sickness,lack of fitness
39,cerebral edema (HACE),0.6840111017227173,11,EVER,Stokes mild stroke from cerebral edema,high-altitude illness
40,people falling,0.9702675342559814,25,EVER,Hixson apparently had stroke leaving S Col in descent and seriously affected; Nielson and Jamieson frostbite,people falling
40,frostbite,0.967230498790741,6,EVER,Hixson apparently had stroke leaving S Col in descent and seriously affected; Nielson and Jamieson frostbite,frostbite
40,extreme cold,0.9488270282745361,5,EVER,Hixson apparently had stroke leaving S Col in descent and seriously affected; Nielson and Jamieson frostbite,extreme cold
40,hypothermia,0.9100531339645386,12,EVER,Hixson apparently had stroke leaving S Col in descent and seriously affected; Nielson and Jamieson frostbite,hypothermia
40,mental stress,0.8947067856788635,18,EVER,Hixson apparently had stroke leaving S Col in descent and seriously affected; Nielson and Jamieson frostbite,mental stress
40,steep rock,0.637776255607605,23,EVER,Hixson apparently had stroke leaving S Col in descent and seriously affected; Nielson and Jamieson frostbite,steep rock
41,frostbite,0.9939733743667603,6,EVER,Yoon Ho-Keun bad frostbitten toes at C3 Dec 20 and went home; 3 more slight frostbite; Lee Yeon-Guen bad leg infection,frostbite
41,extreme cold,0.9827890992164612,5,EVER,Yoon Ho-Keun bad frostbitten toes at C3 Dec 20 and went home; 3 more slight frostbite; Lee Yeon-Guen bad leg infection,extreme cold
41,people falling,0.6996971964836121,25,EVER,Yoon Ho-Keun bad frostbitten toes at C3 Dec 20 and went home; 3 more slight frostbite; Lee Yeon-Guen bad leg infection,people falling
41,hypothermia,0.5931674838066101,12,EVER,Yoon Ho-Keun bad frostbitten toes at C3 Dec 20 and went home; 3 more slight frostbite; Lee Yeon-Guen bad leg infection,hypothermia
42,frostbite,0.9900029897689819,6,EVER,Kurotaki frostbitten fingers (1 may be bad),frostbite
42,extreme cold,0.9629508256912231,5,EVER,Kurotaki frostbitten fingers (1 may be bad),extreme cold
42,hypothermia,0.5210675597190857,12,EVER,Kurotaki frostbitten fingers (1 may be bad),hypothermia
43,frostbite,0.9905784726142883,6,EVER,Park Hee-Taek frostbitten toes that will heal probably but not certainly,frostbite
43,extreme cold,0.985274076461792,5,EVER,Park Hee-Taek frostbitten toes that will heal probably but not certainly,extreme cold
43,lack of experience,0.5695856809616089,16,EVER,Park Hee-Taek frostbitten toes that will heal probably but not certainly,lack of experience
43,hypothermia,0.5400794744491577,12,EVER,Park Hee-Taek frostbitten toes that will heal probably but not certainly,hypothermia
44,extreme cold,0.9949822425842285,5,EVER,Luengo and Elsa bleeding from cold wind blowing into eyes,extreme cold
44,high winds,0.884392499923706,10,EVER,Luengo and Elsa bleeding from cold wind blowing into eyes,weather-related issues
44,people falling,0.7545322179794312,25,EVER,Luengo and Elsa bleeding from cold wind blowing into eyes,people falling
44,hypothermia,0.7291706204414368,12,EVER,Luengo and Elsa bleeding from cold wind blowing into eyes,hypothermia
44,frostbite,0.6036597490310669,6,EVER,Luengo and Elsa bleeding from cold wind blowing into eyes,frostbite
46,lack of fitness,0.9554278254508972,17,EVER,Batard had painfully wind-dried eyes at 7800m,lack of fitness
46,high winds,0.9440265893936157,10,EVER,Batard had painfully wind-dried eyes at 7800m,weather-related issues
46,exhaustion,0.9033429026603699,4,EVER,Batard had painfully wind-dried eyes at 7800m,exhaustion
46,lack of experience,0.886792778968811,16,EVER,Batard had painfully wind-dried eyes at 7800m,lack of experience
46,extreme cold,0.8347998857498169,5,EVER,Batard had painfully wind-dried eyes at 7800m,extreme cold
46,steep rock,0.8257602453231812,23,EVER,Batard had painfully wind-dried eyes at 7800m,steep rock
46,inadequate preparation,0.8184182643890381,15,EVER,Batard had painfully wind-dried eyes at 7800m,inadequate preparation
46,acute mountain sickness (AMS),0.5493572354316711,0,EVER,Batard had painfully wind-dried eyes at 7800m,high-altitude illness
47,getting lost,0.9834445714950562,7,EVER,Phu Dorje disappeared on descent from summit,getting lost
47,steep rock,0.9297200441360474,23,EVER,Phu Dorje disappeared on descent from summit,steep rock
47,people falling,0.8298916220664978,25,EVER,Phu Dorje disappeared on descent from summit,people falling
47,lack of fitness,0.5147472023963928,17,EVER,Phu Dorje disappeared on descent from summit,lack of fitness
48,blood clot,0.9808239936828613,30,EVER,Phinzo Norbu blood clot in leg; Hall throat infection; Ball pulmonary edema,medical issues (not altitude-related)
48,medical issues (not altitude-related),0.9392458200454712,32,EVER,Phinzo Norbu blood clot in leg; Hall throat infection; Ball pulmonary edema,medical issues (not altitude-related)
48,respiratory problems,0.7210678458213806,31,EVER,Phinzo Norbu blood clot in leg; Hall throat infection; Ball pulmonary edema,respiratory problems
49,steep rock,0.7121080160140991,23,EVER,Sieger at and above Col,steep rock
50,respiratory problems,0.9759392738342285,31,EVER,Viral flu that laid everyone low at one time or other & many even down to Pheriche,respiratory problems
50,people falling,0.5622822642326355,25,EVER,Viral flu that laid everyone low at one time or other & many even down to Pheriche,people falling
51,steep rock,0.9222932457923889,23,EVER,5 fatalites on Khumbutse; Lobodzinski altitude sickness; Todd back problem,steep rock
51,acute mountain sickness (AMS),0.8027777671813965,0,EVER,5 fatalites on Khumbutse; Lobodzinski altitude sickness; Todd back problem,high-altitude illness
51,inadequate preparation,0.5055591464042664,15,EVER,5 fatalites on Khumbutse; Lobodzinski altitude sickness; Todd back problem,inadequate preparation
52,respiratory problems,0.8786657452583313,31,EVER,Hassler altitude sickness,respiratory problems
52,acute mountain sickness (AMS),0.830086886882782,0,EVER,Hassler altitude sickness,high-altitude illness
53,people falling,0.9916049242019653,25,EVER,4 climbers disappeared; BC visitor suffered concussion from fall,people falling
53,steep rock,0.7850130200386047,23,EVER,4 climbers disappeared; BC visitor suffered concussion from fall,steep rock
53,lack of experience,0.6748756170272827,16,EVER,4 climbers disappeared; BC visitor suffered concussion from fall,lack of experience
53,getting lost,0.5752423405647278,7,EVER,4 climbers disappeared; BC visitor suffered concussion from fall,getting lost
54,inadequate preparation,0.9747651219367981,15,EVER,None except Batard's inability to retain food or liquid on summit day,inadequate preparation
54,running out of food,0.9051477909088135,20,EVER,None except Batard's inability to retain food or liquid on summit day,running out of resources
54,stomach problems,0.8911178112030029,26,EVER,None except Batard's inability to retain food or liquid on summit day,stomach problems
54,running out of water,0.8463005423545837,21,EVER,None except Batard's inability to retain food or liquid on summit day,running out of resources
54,extreme cold,0.7114608287811279,5,EVER,None except Batard's inability to retain food or liquid on summit day,extreme cold
54,lack of experience,0.6211962699890137,16,EVER,None except Batard's inability to retain food or liquid on summit day,lack of experience
55,frostbite,0.995644211769104,6,EVER,Giner frostbitten toes and Martinez frostbitten fingers during evening of Oct 14; Shrestha killed in avalanche at C3,frostbite
55,extreme cold,0.9870764017105103,5,EVER,Giner frostbitten toes and Martinez frostbitten fingers during evening of Oct 14; Shrestha killed in avalanche at C3,extreme cold
55,hypothermia,0.6887823343276978,12,EVER,Giner frostbitten toes and Martinez frostbitten fingers during evening of Oct 14; Shrestha killed in avalanche at C3,hypothermia
55,avalanches,0.5911461710929871,1,EVER,Giner frostbitten toes and Martinez frostbitten fingers during evening of Oct 14; Shrestha killed in avalanche at C3,avalanches
56,cerebral edema (HACE),0.8105224967002869,11,EVER,Payot serious brain and circulation problem,high-altitude illness
58,frostbite,0.9743288159370422,6,EVER,Frush mild frostbite (could go up only in gentle weather),frostbite
59,stomach problems,0.9977638721466064,26,EVER,1 with gastric ulcer but kept climbing,stomach problems
59,steep rock,0.6861512064933777,23,EVER,1 with gastric ulcer but kept climbing,steep rock
60,frostbite,0.9970511794090271,6,EVER,Kimoto badly frostbitten toes and heel; Sato bad frostbite 7-8 fingers; no more summit bids because very cold and strong wind; after that Miyazaki had altitude problems,frostbite
60,extreme cold,0.9962874054908752,5,EVER,Kimoto badly frostbitten toes and heel; Sato bad frostbite 7-8 fingers; no more summit bids because very cold and strong wind; after that Miyazaki had altitude problems,extreme cold
60,high winds,0.9930995106697083,10,EVER,Kimoto badly frostbitten toes and heel; Sato bad frostbite 7-8 fingers; no more summit bids because very cold and strong wind; after that Miyazaki had altitude problems,weather-related issues
60,inadequate preparation,0.5734386444091797,15,EVER,Kimoto badly frostbitten toes and heel; Sato bad frostbite 7-8 fingers; no more summit bids because very cold and strong wind; after that Miyazaki had altitude problems,inadequate preparation
60,hypothermia,0.5530147552490234,12,EVER,Kimoto badly frostbitten toes and heel; Sato bad frostbite 7-8 fingers; no more summit bids because very cold and strong wind; after that Miyazaki had altitude problems,hypothermia
61,avalanches,0.9947965741157532,1,EVER,"Oct 7-8 avalanching on SW Face which sent small slabs, 1 member hit; disaster of Oct 7-11 when Kumar fell and 4 members died of exhaustion and exposure; Angchuk and Bissa fell on Oct 28",avalanches
61,people falling,0.95958411693573,25,EVER,"Oct 7-8 avalanching on SW Face which sent small slabs, 1 member hit; disaster of Oct 7-11 when Kumar fell and 4 members died of exhaustion and exposure; Angchuk and Bissa fell on Oct 28",people falling
61,exhaustion,0.8211972117424011,4,EVER,"Oct 7-8 avalanching on SW Face which sent small slabs, 1 member hit; disaster of Oct 7-11 when Kumar fell and 4 members died of exhaustion and exposure; Angchuk and Bissa fell on Oct 28",exhaustion
61,rockfall,0.818656325340271,19,EVER,"Oct 7-8 avalanching on SW Face which sent small slabs, 1 member hit; disaster of Oct 7-11 when Kumar fell and 4 members died of exhaustion and exposure; Angchuk and Bissa fell on Oct 28",rockfall
61,steep rock,0.8114489316940308,23,EVER,"Oct 7-8 avalanching on SW Face which sent small slabs, 1 member hit; disaster of Oct 7-11 when Kumar fell and 4 members died of exhaustion and exposure; Angchuk and Bissa fell on Oct 28",steep rock
61,inadequate preparation,0.6204743981361389,15,EVER,"Oct 7-8 avalanching on SW Face which sent small slabs, 1 member hit; disaster of Oct 7-11 when Kumar fell and 4 members died of exhaustion and exposure; Angchuk and Bissa fell on Oct 28",inadequate preparation
62,high winds,0.990477442741394,10,EVER,Climbers knocked down by high winds but no one hurt; no serious frostbites or illnesses,weather-related issues
63,high winds,0.8658720254898071,10,EVER,Unoccupied tents at C3 and again at C2 blown away,weather-related issues
63,exhaustion,0.7605410814285278,4,EVER,Unoccupied tents at C3 and again at C2 blown away,exhaustion
